age,sex,cell_type,n_actual_hf_cells,n_top100_degs,n_seeds,R2_all_HVGs,R2_top100_DEGs,r2_all_hvgs_mean,r2_all_hvgs_sd,r2_top100_degs_mean,r2_top100_degs_sd,r2_all_seed0,r2_deg_seed0,r2_all_seed1,r2_deg_seed1,r2_all_seed2,r2_deg_seed2,r2_all_seed3,r2_deg_seed3,r2_all_seed4,r2_deg_seed4
24W,F,Macrophages_M2_F13a1+,65,100,5,0.878 ± 0.018,0.913 ± 0.021,0.8779,0.0185,0.9133,0.0214,0.8761,0.9282,0.8906,0.9267,0.8935,0.8874,0.8822,0.9317,0.8471,0.8926
24W,F,Pericytes,281,100,5,0.875 ± 0.051,0.850 ± 0.091,0.8748,0.0509,0.8497,0.0911,0.8024,0.7053,0.9443,0.9407,0.8878,0.8513,0.8642,0.8386,0.8751,0.9124
24W,F,SMCs,31,100,5,0.834 ± 0.081,0.888 ± 0.059,0.8343,0.0814,0.888,0.0595,0.8291,0.8767,0.709,0.8034,0.888,0.9403,0.9224,0.9497,0.8229,0.8697
24W,F,Mesothelial_Cells,112,100,5,0.796 ± 0.072,0.659 ± 0.153,0.7965,0.0723,0.6594,0.1529,0.785,0.7001,0.8876,0.7723,0.7157,0.5121,0.8515,0.8257,0.7426,0.4868
24W,F,T_Cells,32,100,5,0.629 ± 0.037,0.594 ± 0.054,0.6287,0.0372,0.5943,0.0536,0.6436,0.5921,0.6422,0.6432,0.5632,0.5044,0.6562,0.6228,0.6383,0.6089
24W,F,NK_Cells,14,100,5,0.527 ± 0.013,0.263 ± 0.036,0.527,0.0126,0.2625,0.0365,0.5351,0.3054,0.5275,0.2571,0.5432,0.2927,0.5137,0.2399,0.5155,0.2175
24W,F,Dendritic_Cells,13,100,5,0.526 ± 0.017,0.501 ± 0.023,0.5263,0.0171,0.5011,0.0231,0.5395,0.4773,0.5347,0.526,0.5211,0.5232,0.5377,0.4993,0.4985,0.4798
24W,F,Macrophages_M1_Cd80+,13,100,5,0.509 ± 0.027,0.413 ± 0.044,0.5091,0.0273,0.4135,0.0438,0.544,0.4739,0.4748,0.351,0.5138,0.4206,0.4898,0.4058,0.5233,0.4163
24W,F,T_Regs,5,100,5,0.508 ± 0.027,0.490 ± 0.039,0.5085,0.027,0.4905,0.0393,0.5264,0.5439,0.5451,0.5155,0.4831,0.4613,0.4845,0.4479,0.5033,0.484
24W,F,B_Cells_Naive,11,100,5,0.403 ± 0.010,0.371 ± 0.025,0.4028,0.0102,0.3708,0.0246,0.4083,0.4124,0.4075,0.3508,0.3867,0.361,0.4122,0.373,0.3992,0.357
24W,F,Neutrophils,5,100,5,0.278 ± 0.059,0.146 ± 0.066,0.2783,0.0592,0.1465,0.066,0.2011,0.0784,0.3593,0.2469,0.2658,0.1275,0.2568,0.1061,0.3083,0.1734
24W,F,Neuronal_Cells,23,100,5,0.273 ± 0.039,0.114 ± 0.049,0.2732,0.0393,0.1143,0.0486,0.2173,0.1057,0.3187,0.1717,0.2593,0.0521,0.3008,0.1537,0.2697,0.0885
24W,Both,Fibroblasts_Bmper+,327,100,5,0.981 ± 0.004,0.983 ± 0.005,0.9812,0.0038,0.9832,0.0047,0.9824,0.9863,0.9841,0.984,0.9841,0.9881,0.9751,0.9759,0.9801,0.9819
24W,Both,ECs_Cap,2480,100,5,0.977 ± 0.009,0.961 ± 0.025,0.9772,0.009,0.9611,0.0246,0.9826,0.9792,0.9624,0.918,0.9845,0.9684,0.9816,0.9739,0.975,0.9662
24W,Both,ECs_Venous_Fbn1+,240,100,5,0.972 ± 0.004,0.970 ± 0.009,0.9719,0.004,0.9702,0.0087,0.9649,0.9561,0.9741,0.9716,0.9743,0.9796,0.9741,0.9734,0.9723,0.9701
24W,Both,Fibroblasts_Bmper+_Nrxn1+,738,100,5,0.971 ± 0.006,0.942 ± 0.020,0.971,0.0061,0.9415,0.02,0.9723,0.9472,0.9738,0.9353,0.9607,0.9134,0.9718,0.9431,0.9766,0.9687
24W,Both,ECs_Venous,284,100,5,0.967 ± 0.008,0.944 ± 0.024,0.9665,0.0076,0.9436,0.0239,0.956,0.9511,0.9615,0.9031,0.9712,0.9472,0.9746,0.9667,0.9693,0.95
24W,Both,Adipocytes_3,1403,100,5,0.965 ± 0.004,0.964 ± 0.005,0.9651,0.0036,0.9636,0.0055,0.9642,0.9724,0.9641,0.9589,0.96,0.9601,0.9683,0.9654,0.9689,0.9613
24W,Both,ECs_Lymph,137,100,5,0.961 ± 0.003,0.940 ± 0.009,0.9606,0.0028,0.9402,0.0095,0.9591,0.9281,0.9646,0.9352,0.9615,0.9499,0.9608,0.9497,0.957,0.9381
24W,Both,Fibroblasts_Pi16++,245,100,5,0.960 ± 0.007,0.962 ± 0.020,0.9596,0.007,0.9616,0.0202,0.9498,0.9259,0.961,0.9742,0.9654,0.968,0.9665,0.9675,0.9555,0.9726
24W,Both,Fibroblasts_Pi16+,340,100,5,0.959 ± 0.004,0.950 ± 0.013,0.9593,0.0043,0.9499,0.013,0.9611,0.9582,0.9596,0.9558,0.9551,0.9269,0.9655,0.9544,0.9553,0.9543
24W,Both,Pericytes,665,100,5,0.945 ± 0.055,0.923 ± 0.089,0.9445,0.0552,0.9232,0.0892,0.8469,0.7682,0.9778,0.9781,0.9763,0.9807,0.9625,0.9275,0.9592,0.9617
24W,Both,ECs_Lymph_Piezo2+,169,100,5,0.944 ± 0.020,0.937 ± 0.037,0.9443,0.0198,0.9367,0.0368,0.9627,0.9704,0.9308,0.9261,0.9545,0.9493,0.9164,0.8779,0.9573,0.9599
