age,sex,cell_type,n_actual_hf_cells,n_top100_degs,n_seeds,R2_all_HVGs,R2_top100_DEGs,r2_all_hvgs_mean,r2_all_hvgs_sd,r2_top100_degs_mean,r2_top100_degs_sd,r2_all_seed0,r2_deg_seed0,r2_all_seed1,r2_deg_seed1,r2_all_seed2,r2_deg_seed2,r2_all_seed3,r2_deg_seed3,r2_all_seed4,r2_deg_seed4
8W,F,Dendritic_Cells,18,100,5,0.601 ± 0.026,0.669 ± 0.020,0.6009,0.0257,0.6692,0.0204,0.6079,0.6862,0.5639,0.6484,0.6173,0.68,0.6285,0.6859,0.5867,0.6457
8W,F,NK_Cells,28,100,5,0.597 ± 0.110,0.459 ± 0.162,0.5965,0.1103,0.4587,0.1618,0.5923,0.3797,0.4727,0.2971,0.5038,0.3598,0.7209,0.6779,0.6927,0.579
8W,F,Mesothelial_Cells,375,100,5,0.565 ± 0.166,0.483 ± 0.198,0.5652,0.1656,0.483,0.1982,0.5924,0.4373,0.6314,0.6811,0.2742,0.1682,0.6505,0.6065,0.6776,0.5217
8W,F,Pericytes,211,100,5,0.525 ± 0.269,0.440 ± 0.267,0.5246,0.2689,0.4402,0.2672,0.351,0.2342,0.8272,0.7757,0.4852,0.4734,0.1951,0.1177,0.7644,0.6001
8W,F,Neutrophils,18,100,5,0.488 ± 0.053,0.326 ± 0.069,0.4883,0.0534,0.3261,0.0691,0.5794,0.4463,0.4889,0.3226,0.4527,0.2822,0.4722,0.2833,0.4485,0.2962
8W,F,SMCs,11,100,5,0.439 ± 0.119,0.478 ± 0.151,0.4392,0.1191,0.4776,0.1508,0.4294,0.4404,0.4813,0.5239,0.6144,0.7153,0.2988,0.338,0.3723,0.3706
8W,F,Monocytes,1,0,5,0.205 ± 0.004,,0.2048,0.0042,,,0.1995,,0.2077,,0.201,,0.2086,,0.2073,
8W,F,Neuronal_Cells,7,100,5,0.198 ± 0.032,0.101 ± 0.046,0.1978,0.0323,0.1007,0.0464,0.1497,0.0541,0.236,0.1646,0.2083,0.1321,0.2099,0.0864,0.1853,0.0664
8W,Both,ECs_Cap,945,100,5,0.978 ± 0.006,0.982 ± 0.009,0.9778,0.0058,0.9819,0.0087,0.9821,0.9875,0.9765,0.9832,0.9685,0.9674,0.9829,0.9815,0.9792,0.9897
8W,Both,Fibroblasts_Bmper+,362,100,5,0.975 ± 0.004,0.968 ± 0.011,0.9752,0.004,0.9677,0.0106,0.9731,0.9608,0.9774,0.9742,0.9797,0.9761,0.9695,0.9525,0.9761,0.9751
8W,Both,Adipocytes_2,480,100,5,0.974 ± 0.010,0.966 ± 0.016,0.9742,0.0099,0.9663,0.0157,0.9808,0.978,0.9739,0.9707,0.9578,0.9425,0.9832,0.9808,0.9754,0.9593
8W,Both,Fibroblasts_Bmper+_Nrxn1+,979,100,5,0.972 ± 0.008,0.947 ± 0.018,0.9724,0.0076,0.9468,0.0183,0.975,0.9643,0.9759,0.9531,0.961,0.9304,0.9809,0.9616,0.9693,0.9244
8W,Both,ECs_Artery,299,100,5,0.966 ± 0.009,0.946 ± 0.022,0.9664,0.0089,0.946,0.022,0.9742,0.9657,0.9659,0.9229,0.9521,0.9278,0.9736,0.9719,0.9663,0.9418
8W,Both,Fibroblasts_Pi16+,423,100,5,0.958 ± 0.015,0.952 ± 0.034,0.9582,0.0151,0.9521,0.0335,0.9737,0.976,0.9617,0.9592,0.9329,0.8931,0.9619,0.9643,0.9606,0.9679
8W,Both,ECs_Venous_Fbn1+,201,100,5,0.957 ± 0.012,0.930 ± 0.019,0.9568,0.0123,0.9302,0.0192,0.9505,0.9123,0.954,0.9381,0.9667,0.9345,0.9717,0.956,0.9413,0.9101
8W,Both,T_Cells,254,100,5,0.954 ± 0.004,0.971 ± 0.006,0.9543,0.0041,0.9705,0.0057,0.9583,0.9769,0.9498,0.9724,0.9577,0.9625,0.9501,0.9737,0.9557,0.967
8W,Both,Macrophages_M2,167,100,5,0.947 ± 0.010,0.953 ± 0.016,0.947,0.0101,0.9531,0.0164,0.9465,0.9423,0.9546,0.9575,0.9303,0.9305,0.9479,0.9702,0.9556,0.965
8W,Both,Fibroblasts_Pi16++,289,100,5,0.945 ± 0.029,0.936 ± 0.055,0.9449,0.0292,0.9362,0.0547,0.9704,0.9743,0.9653,0.9791,0.8966,0.8435,0.9492,0.9381,0.9429,0.9458
8W,Both,Adipocytes_3,403,100,5,0.944 ± 0.037,0.937 ± 0.054,0.9444,0.0375,0.9369,0.054,0.9635,0.9673,0.9639,0.9654,0.9428,0.9265,0.8801,0.8469,0.9717,0.9782
8W,Both,ECs_Lymph,149,100,5,0.931 ± 0.021,0.940 ± 0.053,0.9312,0.0213,0.9399,0.0533,0.8962,0.847,0.9373,0.9556,0.9464,0.9748,0.9488,0.9746,0.9274,0.9474
8W,Both,ECs_Venous,75,100,5,0.930 ± 0.017,0.919 ± 0.021,0.9298,0.0169,0.9192,0.0212,0.9166,0.914,0.9393,0.9194,0.9159,0.8927,0.9223,0.918,0.955,0.9519
8W,Both,Macrophages_M2_F13a1+,173,100,5,0.926 ± 0.027,0.919 ± 0.067,0.9258,0.0273,0.9187,0.0673,0.9385,0.942,0.9326,0.9449,0.9335,0.9547,0.8779,0.7987,0.9465,0.9532
8W,Both,Neutrophils,78,100,5,0.912 ± 0.043,0.904 ± 0.058,0.9116,0.0426,0.9043,0.058,0.9281,0.9273,0.9216,0.9155,0.9219,0.8911,0.9485,0.9727,0.8379,0.8151
8W,Both,T_Regs,41,100,5,0.911 ± 0.004,0.876 ± 0.011,0.9112,0.0039,0.8762,0.0109,0.9045,0.8589,0.9122,0.8827,0.9131,0.8878,0.9115,0.8766,0.9146,0.8752
8W,Both,B_Cells_Naive,109,100,5,0.885 ± 0.031,0.877 ± 0.065,0.885,0.0309,0.8766,0.0649,0.8912,0.9268,0.9006,0.9069,0.8388,0.7788,0.9207,0.9283,0.8738,0.8424
8W,Both,Mesothelial_Cells,568,100,5,0.875 ± 0.052,0.828 ± 0.060,0.8754,0.0516,0.8284,0.0597,0.9227,0.8846,0.8783,0.811,0.8851,0.8383,0.9025,0.873,0.7884,0.735
8W,Both,Macrophages_M1_Cd80+,129,100,5,0.858 ± 0.132,0.836 ± 0.239,0.858,0.1323,0.8356,0.2393,0.9319,0.9585,0.9302,0.9588,0.6241,0.4087,0.9212,0.9367,0.8826,0.9155
8W,Both,ECs_Lymph_Piezo2+,170,100,5,0.846 ± 0.196,0.764 ± 0.311,0.8459,0.1955,0.7639,0.3112,0.8963,0.8535,0.4987,0.2144,0.9515,0.9481,0.9278,0.8489,0.9553,0.9546
8W,Both,Pericytes,637,100,5,0.827 ± 0.192,0.687 ± 0.380,0.8267,0.1919,0.6871,0.3803,0.5506,0.0573,0.9614,0.921,0.9655,0.9445,0.6983,0.5962,0.9579,0.9167
8W,Both,NK_Cells,53,100,5,0.799 ± 0.058,0.715 ± 0.053,0.7992,0.058,0.7153,0.0532,0.7152,0.6437,0.7776,0.6997,0.8341,0.7531,0.8014,0.6994,0.8678,0.7807
8W,Both,Adipocytes_Brown,11621,100,5,0.781 ± 0.045,0.793 ± 0.091,0.7809,0.0449,0.7927,0.0915,0.7597,0.7345,0.7792,0.7657,0.8585,0.9547,0.7605,0.7643,0.7466,0.7442
8W,Both,SMCs,19,100,5,0.764 ± 0.060,0.741 ± 0.106,0.764,0.0602,0.741,0.1062,0.7063,0.6618,0.8141,0.8471,0.6945,0.5999,0.8231,0.8225,0.7821,0.7735
8W,Both,Dendritic_Cells,32,100,5,0.627 ± 0.023,0.624 ± 0.030,0.6271,0.0233,0.624,0.0304,0.6528,0.6472,0.5944,0.5777,0.6127,0.608,0.6368,0.6411,0.6387,0.6458
8W,Both,Neuronal_Cells,29,100,5,0.416 ± 0.034,0.561 ± 0.065,0.4163,0.0337,0.5614,0.0647,0.4513,0.6145,0.3663,0.4711,0.3993,0.5227,0.4321,0.6257,0.4327,0.5728
8W,Both,Monocytes,5,100,5,0.402 ± 0.013,0.307 ± 0.039,0.4022,0.0135,0.3073,0.0387,0.4009,0.2595,0.4032,0.2919,0.3909,0.2909,0.4243,0.3496,0.3917,0.3447
24W,M,Fibroblasts_Bmper+_Nrxn1+,428,100,5,0.967 ± 0.004,0.922 ± 0.011,0.9668,0.004,0.922,0.0115,0.9667,0.9265,0.966,0.9112,0.968,0.9218,0.9611,0.9116,0.9722,0.9389
24W,M,ECs_Cap,1514,100,5,0.964 ± 0.013,0.935 ± 0.017,0.9643,0.0131,0.9353,0.0166,0.9751,0.9406,0.9706,0.9432,0.9674,0.9412,0.9665,0.9458,0.9417,0.9058
24W,M,Fibroblasts_Bmper+,177,100,5,0.963 ± 0.006,0.947 ± 0.017,0.9629,0.0061,0.9466,0.0172,0.9668,0.9634,0.969,0.9525,0.9662,0.9499,0.9566,0.9497,0.956,0.9174
24W,M,Adipocytes_3,1286,100,5,0.938 ± 0.027,0.916 ± 0.040,0.9384,0.0266,0.9163,0.0395,0.9392,0.9022,0.9732,0.9766,0.9507,0.9251,0.9272,0.9089,0.9017,0.8687
24W,M,Fibroblasts_Pi16++,140,100,5,0.935 ± 0.015,0.910 ± 0.046,0.9352,0.0149,0.9102,0.0461,0.9477,0.9353,0.9533,0.9632,0.9177,0.8464,0.9312,0.8819,0.9261,0.9243
24W,M,Fibroblasts_Pi16+,185,100,5,0.934 ± 0.013,0.922 ± 0.017,0.9343,0.0133,0.922,0.0169,0.9403,0.9386,0.9199,0.9081,0.9207,0.9024,0.9411,0.9221,0.9496,0.9389
24W,M,ECs_Venous,149,100,5,0.933 ± 0.052,0.856 ± 0.094,0.933,0.0518,0.8564,0.0939,0.9539,0.8596,0.9667,0.9508,0.8421,0.6997,0.9618,0.8907,0.9406,0.8811
24W,M,Macrophages_M2,122,100,5,0.926 ± 0.006,0.934 ± 0.010,0.9259,0.0058,0.9345,0.0096,0.932,0.9406,0.9175,0.9184,0.9264,0.9428,0.9234,0.9361,0.9303,0.9345
24W,M,Adipocytes_2,429,100,5,0.922 ± 0.016,0.927 ± 0.026,0.9221,0.016,0.9274,0.026,0.899,0.8847,0.9203,0.9233,0.9171,0.9426,0.9338,0.9511,0.9402,0.9355
24W,M,Macrophages_M2_F13a1+,98,100,5,0.916 ± 0.022,0.915 ± 0.032,0.9163,0.0219,0.9148,0.0317,0.8859,0.8813,0.9372,0.9531,0.9039,0.8982,0.9363,0.9441,0.9182,0.8974
24W,M,T_Cells,61,100,5,0.883 ± 0.026,0.879 ± 0.047,0.8828,0.0256,0.8793,0.0469,0.9124,0.9281,0.8426,0.8014,0.8945,0.8931,0.8817,0.8836,0.883,0.8905
24W,M,NK_Cells,66,100,5,0.876 ± 0.014,0.866 ± 0.029,0.8758,0.0143,0.8661,0.0293,0.8817,0.8841,0.8745,0.8389,0.8913,0.9018,0.8788,0.8723,0.8527,0.8335
24W,M,ECs_Lymph,58,100,5,0.864 ± 0.024,0.843 ± 0.033,0.8637,0.0242,0.8433,0.0328,0.8823,0.8709,0.8253,0.7919,0.8796,0.8727,0.854,0.8366,0.8771,0.8444
24W,M,Pericytes,384,100,5,0.855 ± 0.081,0.712 ± 0.197,0.8548,0.0811,0.7118,0.1965,0.727,0.4098,0.9434,0.9182,0.8366,0.6354,0.8927,0.7929,0.8742,0.8028
24W,M,ECs_Venous_Fbn1+,143,100,5,0.831 ± 0.218,0.801 ± 0.223,0.8306,0.2184,0.8008,0.2229,0.9197,0.9135,0.884,0.764,0.9473,0.9407,0.4433,0.4265,0.9587,0.9591
