age,sex_subset,target,control_count,treated_count,eligible,reason
8W,F,B_Cells_Naive,22,47,True,ok
8W,F,Dendritic_Cells,11,18,True,ok
8W,F,ECs_Artery,155,147,True,ok
8W,F,ECs_Cap,402,541,True,ok
8W,F,ECs_Lymph,37,51,True,ok
8W,F,ECs_Lymph_Piezo2+,41,89,True,ok
8W,F,ECs_Venous,38,44,True,ok
8W,F,ECs_Venous_Fbn1+,35,94,True,ok
8W,F,Fibroblasts_Bmper+,101,163,True,ok
8W,F,Fibroblasts_Bmper+_Nrxn1+,496,469,True,ok
8W,F,Fibroblasts_Pi16+,132,215,True,ok
8W,F,Fibroblasts_Pi16++,69,129,True,ok
8W,F,Macrophages_M1_Cd80+,30,34,True,ok
8W,F,Macrophages_M2,179,73,True,ok
8W,F,Macrophages_M2_F13a1+,87,100,True,ok
8W,F,Mesothelial_Cells,321,375,True,ok
8W,F,Monocytes,2,1,True,ok
8W,F,NK_Cells,32,28,True,ok
8W,F,Neuronal_Cells,14,7,True,ok
8W,F,Neutrophils,8,18,True,ok
8W,F,Pericytes,180,211,True,ok
8W,F,SMCs,11,11,True,ok
8W,F,T_Cells,84,153,True,ok
8W,F,T_Regs,12,27,True,ok
8W,Both,Adipocytes_2,454,480,True,ok
8W,Both,Adipocytes_3,487,403,True,ok
8W,Both,Adipocytes_Brown,6395,11621,True,ok
8W,Both,B_Cells_Naive,61,109,True,ok
8W,Both,Dendritic_Cells,15,32,True,ok
8W,Both,ECs_Artery,278,299,True,ok
8W,Both,ECs_Cap,635,945,True,ok
8W,Both,ECs_Lymph,102,149,True,ok
8W,Both,ECs_Lymph_Piezo2+,124,170,True,ok
8W,Both,ECs_Venous,64,75,True,ok
8W,Both,ECs_Venous_Fbn1+,92,201,True,ok
8W,Both,Fibroblasts_Bmper+,204,362,True,ok
8W,Both,Fibroblasts_Bmper+_Nrxn1+,969,979,True,ok
8W,Both,Fibroblasts_Pi16+,275,423,True,ok
8W,Both,Fibroblasts_Pi16++,138,289,True,ok
8W,Both,Macrophages_M1_Cd80+,91,129,True,ok
8W,Both,Macrophages_M2,268,167,True,ok
8W,Both,Macrophages_M2_F13a1+,134,173,True,ok
8W,Both,Mesothelial_Cells,533,568,True,ok
8W,Both,Monocytes,6,5,True,ok
8W,Both,NK_Cells,65,53,True,ok
8W,Both,Neuronal_Cells,18,29,True,ok
8W,Both,Neutrophils,52,78,True,ok
8W,Both,Pericytes,468,637,True,ok
8W,Both,SMCs,14,19,True,ok
8W,Both,T_Cells,156,254,True,ok
8W,Both,T_Regs,25,41,True,ok
