Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Ubiquitin Protein Ligase Binding (GO:0031625)	1/271	0.7453005446386038	0.8112114771576642	0	0	0.7343808454919566	0.2158842674099368	SMAD6
GO_Molecular_Function_2023	DNA-binding Transcription Factor Binding (GO:0140297)	1/282	0.7591502965446322	0.8207030232914942	0	0	0.7052374276573565	0.1943320534262299	RUNX1T1
GO_Molecular_Function_2023	Ubiquitin-Like Protein Ligase Binding (GO:0044389)	1/289	0.767572810062157	0.8242392591271485	0	0	0.6878507295173962	0.1819516076757358	SMAD6
GO_Molecular_Function_2023	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	4/1098	0.8058166667473444	0.859537777863834	0	0	0.7162553321145643	0.1546388263933046	KLF12;MXI1;FOXN3;MEOX2
GO_Molecular_Function_2023	DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	1/348	0.8279046331469556	0.8772499424073703	0	0	0.569178819899281	0.1074935800320686	MEOX2
GO_Molecular_Function_2023	Double-Stranded DNA Binding (GO:0003690)	2/650	0.8405587997500835	0.8847987365790352	0	0	0.6063240110859158	0.105311429492445	KLF12;MEOX2
GO_Molecular_Function_2023	Sequence-Specific DNA Binding (GO:0043565)	2/717	0.8780997205009182	0.9182742175173002	0	0	0.5475952618809762	0.0711847089957124	KLF12;MEOX2
GO_Molecular_Function_2023	Transition Metal Ion Binding (GO:0046914)	1/456	0.9009542627756524	0.9360563769097684	0	0	0.4316794316794317	0.045024503764066	SCD
GO_Molecular_Function_2023	RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	3/1122	0.9245536780918984	0.9463305259798468	0	0	0.5190846024156325	0.0407191598028107	KLF12;MXI1;MEOX2
GO_Molecular_Function_2023	Protein Kinase Binding (GO:0019901)	1/511	0.9253315302897654	0.9463305259798468	0	0	0.3840364428599723	0.0298024547932257	EPHA4
GO_Molecular_Function_2023	DNA Binding (GO:0003677)	2/846	0.9285868286177246	0.9463305259798468	0	0	0.4607795724925041	0.0341397979156865	KLF12;MEOX2
GO_Molecular_Function_2023	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	3/1225	0.9489575030376098	0.9609696233292252	0	0	0.4727251252805102	0.0247666659668594	KLF12;MXI1;MEOX2
GO_Molecular_Function_2023	Protein Homodimerization Activity (GO:0042803)	1/662	0.9657636304332176	0.971837615530282	0	0	0.2939989914271306	0.010241796993985	ST6GAL1
GO_Molecular_Function_2023	RNA Binding (GO:0003723)	3/1411	0.97558012615668	0.97558012615668	0	0	0.4061914245548266	0.0100422639849917	FASN;SORBS2;BICC1
