Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2024_Mouse	Focal Adhesion WP85	11/185	2.181238364495186e-09	1.2433058677622566e-07	0	0	14.011752550690948	279.4416084033794	COL4A2;COL4A1;COL5A3;ZYX;BCL2;RAPGEF1;FLNA;LAMC1;ACTB;VCL;ACTG1
WikiPathways_2024_Mouse	Regulation Of Actin Cytoskeleton WP523	6/150	0.00010746778994043538	0.0026470331701641	0	0	8.75709219858156	80.02510538362931	GSN;TMSB4X;MSN;ACTB;VCL;ACTG1
WikiPathways_2024_Mouse	IL 3 Signaling Pathway WP373	5/99	0.00013931753527179623	0.0026470331701641	0	0	11.089585666293392	98.46171200623029	ID1;STAT3;BCL2;RAPGEF1;VCL
WikiPathways_2024_Mouse	Dysregulated miRNA Targeting In Insulin PI3K AKT Signaling WP3855	3/26	0.0002900493873630044	0.0041332037699228	0	0	26.728372926938597	217.7148751207531	COL4A2;COL5A3;BCL2
WikiPathways_2024_Mouse	Mechanisms Associated With Pluripotency WP1763	6/290	0.0033697894223895	0.0384155994152407	0	0	4.408750374587953	25.09859715047586	ID1;STAT3;TRIM24;SGK1;TGFBR1;KLF2
WikiPathways_2024_Mouse	Adipogenesis Genes WP447	4/134	0.0045997805345406	0.0386179020498819	0	0	6.336538461538462	34.10164486931323	KLF6;STAT3;EBF1;ID3
WikiPathways_2024_Mouse	IL 5 Signaling Pathway WP151	3/68	0.0048040547103092	0.0386179020498819	0	0	9.437747819191118	50.38148186551567	NFKBIA;STAT3;RAPGEF1
WikiPathways_2024_Mouse	Primary Focal Segmental Glomerulosclerosis FSGS WP2573	3/71	0.0054200564280536	0.0386179020498819	0	0	9.020012128562763	47.06325773617709	MYO1E;MYH9;VCL
WikiPathways_2024_Mouse	Delta Notch Signaling Pathway WP265	3/82	0.0080732197710654	0.0511303918834143	0	0	7.759754665274697	37.39583215487946	NFKBIA;MAML2;STAT3
WikiPathways_2024_Mouse	White Fat Cell Differentiation WP2872	2/32	0.0111345221222248	0.0612023564241077	0	0	13.517006802721088	60.79550767481704	EBF1;KLF2
WikiPathways_2024_Mouse	Chemokine Signaling Pathway WP2292	4/176	0.0118109810643015	0.0612023564241077	0	0	4.77906976744186	21.212979232896856	NFKBIA;PLCB4;STAT3;ELMO1
WikiPathways_2024_Mouse	Integrin Mediated Cell Adhesion WP6	3/100	0.0138217578324637	0.065653349704203	0	0	6.314061005420342	27.03372337884673	RAPGEF1;ZYX;VCL
WikiPathways_2024_Mouse	ID Signaling Pathway WP512	2/50	0.025948961945953	0.1125976608987649	0	0	8.44047619047619	30.82144266223132	ID1;ID3
WikiPathways_2024_Mouse	TGF Beta Signaling Pathway WP113	2/52	0.0279085775805053	0.1125976608987649	0	0	8.10204081632653	28.995755414400413	STAT3;TGFBR1
WikiPathways_2024_Mouse	Hfe Effect On Hepcidin Production WP3673	1/6	0.0296309633944118	0.1125976608987649	0	0	40.19191919191919	141.432767389918	ID1
WikiPathways_2024_Mouse	Tyrobp Causal Network In Microglia WP3625	2/58	0.0341280219187038	0.1215810780853823	0	0	7.231778425655976	24.426318589638807	NRROS;TGFBR1
WikiPathways_2024_Mouse	Myometrial Relaxation And Contraction Pathways WP385	3/149	0.038811618827442	0.1301330748920115	0	0	4.184578449371558	13.595844448680904	CALD1;ACTB;ACTG1
WikiPathways_2024_Mouse	Alpha 6 Beta 4 Integrin Signaling Pathway WP488	2/66	0.0431673525667949	0.1366966164615174	0	0	6.325255102040816	19.87819449312978	DST;LAMC1
WikiPathways_2024_Mouse	Insulin Signaling WP65	3/159	0.0455880793261003	0.1367642379783011	0	0	3.914353687549564	12.087950910125883	RHOJ;RAPGEF1;SGK1
WikiPathways_2024_Mouse	IL 2 Signaling Pathway WP450	2/76	0.0555565913641185	0.1578850076436571	0	0	5.467733039161611	15.803679213614178	STAT3;BCL2
WikiPathways_2024_Mouse	Apoptosis WP1254	2/78	0.058168160710821	0.1578850076436571	0	0	5.323308270676692	15.141709290687697	NFKBIA;BCL2
WikiPathways_2024_Mouse	BDNF Pathway WP2152	1/15	0.0724552331756038	0.1856186599164296	0	0	14.347763347763347	37.6598138369901	BCL2
WikiPathways_2024_Mouse	Focal Adhesion PI3K Akt mTOR Signaling Pathway WP2841	4/322	0.0781366431711455	0.1856186599164296	0	0	2.565775681341719	6.540922064769086	COL4A2;COL4A1;COL5A3;LAMC1
WikiPathways_2024_Mouse	Leptin Insulin Signaling Overlap WP578	1/18	0.0863099571505927	0.1856186599164296	0	0	11.81402257872846	28.942114306609312	STAT3
WikiPathways_2024_Mouse	Spinal Cord Injury WP2432	2/99	0.0879246283814666	0.1856186599164296	0	0	4.166421207658321	10.129717084781952	COL4A1;RHOC
WikiPathways_2024_Mouse	Neural Crest Differentiation WP2074	2/99	0.0879246283814666	0.1856186599164296	0	0	4.166421207658321	10.129717084781952	ID1;TCF4
WikiPathways_2024_Mouse	IL 6 Signaling Pathway WP387	2/99	0.0879246283814666	0.1856186599164296	0	0	4.166421207658321	10.129717084781952	STAT3;SGK1
WikiPathways_2024_Mouse	Comprehensive IL 17A Signaling WP5242	2/103	0.0940199139873012	0.1913976820455775	0	0	4.000606183067286	9.458427840392073	STAT3;BCL2
WikiPathways_2024_Mouse	Wnt Signaling Pathway WP539	2/108	0.1018050719773058	0.2000996242312563	0	0	3.81093569503273	8.70682707358352	MAGI3;TCF4
WikiPathways_2024_Mouse	IL 9 Signaling Pathway WP10	1/24	0.113407683581024	0.2154745988039456	0	0	8.729468599033817	19.002011610155247	STAT3
WikiPathways_2024_Mouse	EPO Receptor Signaling WP1249	1/26	0.1222622476286691	0.2248047778978755	0	0	8.030303030303031	16.876380218002918	STAT3
WikiPathways_2024_Mouse	Matrix Metalloproteinases WP441	1/29	0.13538019382269	0.2342189748051172	0	0	7.1688311688311686	14.335283778329618	TIMP3
WikiPathways_2024_Mouse	Inflammatory Response Pathway WP458	1/30	0.1397095639188418	0.2342189748051172	0	0	6.921281783350749	13.622394510819325	LAMC1
WikiPathways_2024_Mouse	Dopaminergic Neurogenesis WP1498	1/30	0.1397095639188418	0.2342189748051172	0	0	6.921281783350749	13.622394510819325	STAT3
WikiPathways_2024_Mouse	Factors And Pathways Affecting IGF1 Akt Signaling WP3675	1/31	0.1440174715013112	0.2345427393021354	0	0	6.69023569023569	12.964476920040203	IGFBP7
WikiPathways_2024_Mouse	P38 Mapk Signaling Pathway WP350	1/33	0.152569319997184	0.2415680899955414	0	0	6.271464646464646	11.79120788980768	TGFBR1
WikiPathways_2024_Mouse	FAS Pathway And Stress Induction Of HSP Regulation WP571	1/36	0.165238740567014	0.2541301007701884	0	0	5.733044733044733	10.321566994169176	BCL2
WikiPathways_2024_Mouse	IL 1 Signaling Pathway WP37	1/37	0.1694200671801256	0.2541301007701884	0	0	5.57351290684624	9.895070145641316	NFKBIA
WikiPathways_2024_Mouse	Oxidative Damage Response WP1496	1/41	0.1859390303366049	0.2633890186534697	0	0	5.015151515151516	8.43717221072756	BCL2
WikiPathways_2024_Mouse	Mapk Signaling Pathway WP493	2/159	0.188921090423562	0.2633890186534697	0	0	2.566359027687508	4.276647055148966	FLNA;TGFBR1
WikiPathways_2024_Mouse	Splicing Factor NOVA Regulated Synaptic Proteins WP1983	1/42	0.1900176905858975	0.2633890186534697	0	0	4.892584380389258	8.124812043283224	PLCB4
