	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	celltype	group	group1	group2
3110082J24Rik	18.81388766880668	0.4576462603876768	0.665797341991157	0.6873657065362018	0.49185230243986233	0.872797327172524	3110082J24Rik	Adipocytes_Brown	diet	Control	HF
6330411D24Rik	4.933296191747004	1.5073523998896197	1.351758508941832	1.1151047986149447	0.2648055154180592	0.7327616168113871	6330411D24Rik	Adipocytes_Brown	diet	Control	HF
AABR07000398.1	4617.770947456213	0.08039594013100218	0.26073981934031826	0.3083377918048996	0.7578253122230758	0.9529898873352192	AABR07000398.1	Adipocytes_Brown	diet	Control	HF
AABR07001592.2	5.3132570030534225	-0.9027123458470173	0.8396355119243704	-1.0751240663678938	0.28231918596279537	0.7491492706345302	AABR07001592.2	Adipocytes_Brown	diet	Control	HF
AABR07001942.1	4.5193998193933735	0.2773323119949227	1.0067007465196105	0.27548634780864373	0.7829426130685243	0.9598385349158752	AABR07001942.1	Adipocytes_Brown	diet	Control	HF
AABR07002093.2	4.323218676229848	-0.15303453845385515	0.8915316119675575	-0.17165351895500036	0.8637099298056143	0.9775101143178828	AABR07002093.2	Adipocytes_Brown	diet	Control	HF
AABR07002627.1	12.659039627636545	0.294390011333689	0.7937276361088753	0.37089550362248896	0.710715364276689	0.9423639272497973	AABR07002627.1	Adipocytes_Brown	diet	Control	HF
AABR07002969.1	234.10996534790272	-0.42383847828603316	0.23038124006385202	-1.8397265253393151	0.06580839722740543	0.43476102500059527	AABR07002969.1	Adipocytes_Brown	diet	Control	HF
AABR07005588.1	53.54754368029825	-0.1711000502760467	0.319038370022708	-0.5362992867092081	0.5917517235029649	0.91306435145887	AABR07005588.1	Adipocytes_Brown	diet	Control	HF
AABR07005806.1	11.192741925159448	4.115766224746125	1.1831896169233407	3.4785347723456113	0.0005041630232856174	0.016668034623980907	AABR07005806.1	Adipocytes_Brown	diet	Control	HF
AABR07007032.1	7746.595852069122	-0.4442568419881417	0.34710699320265315	-1.2798844468361636	0.20058577836823988	0.6724673630221252	AABR07007032.1	Adipocytes_Brown	diet	Control	HF
AABR07008066.2	41.52632050437638	1.0163694350715926	0.49529886002347895	2.0520326556443376	0.04016648889678537	0.34200067295353254	AABR07008066.2	Adipocytes_Brown	diet	Control	HF
AABR07008681.1	4.831562603803919	0.8029434837036291	0.8977769266426445	0.8943685896521559	0.371124712572633	0.8130158075659352	AABR07008681.1	Adipocytes_Brown	diet	Control	HF
AABR07009105.1	19.835874038294886	0.030681845799596593	0.46538279083880835	0.06592819159534342	0.9474349957566749	0.9918690138519627	AABR07009105.1	Adipocytes_Brown	diet	Control	HF
AABR07009260.1	7.279959911048214	0.6035861823305047	0.6960399920174647	0.8671716988287071	0.38584794040323644	0.8227482449183909	AABR07009260.1	Adipocytes_Brown	diet	Control	HF
AABR07013165.1	20.558572502218038	0.6464153949882966	0.4611096392825265	1.4018691866734787	0.16095431336485477	0.6231047080510257	AABR07013165.1	Adipocytes_Brown	diet	Control	HF
AABR07015057.1	7477.97412615505	1.1254759170087254	0.4056680832198344	2.7743763030990585	0.005530766247758728	0.0975988086198149	AABR07015057.1	Adipocytes_Brown	diet	Control	HF
AABR07015346.1	7.727922115505391	-0.47618042890595735	0.7008545494296156	-0.6794283197469329	0.4968665110822198	0.8739508535184346	AABR07015346.1	Adipocytes_Brown	diet	Control	HF
AABR07015507.1	107.28331092129646	0.05998065813139385	0.2753152862376042	0.21786170666756585	0.827536864121214	0.9702077001174446	AABR07015507.1	Adipocytes_Brown	diet	Control	HF
AABR07017236.2	23.967968470244507	-0.33187332487130866	0.6584608659231254	-0.5040137418129486	0.6142517203948681	0.9221929846853242	AABR07017236.2	Adipocytes_Brown	diet	Control	HF
AABR07017902.1	416.8269772693654	0.4495391107268375	0.4238177582831163	1.0606896524296627	0.28883096403590636	0.7520162581839672	AABR07017902.1	Adipocytes_Brown	diet	Control	HF
AABR07018132.1	4.472984099628065	0.4519335256166783	0.9896982519464669	0.4566376920721525	0.6479314826083509	0.928968735857923	AABR07018132.1	Adipocytes_Brown	diet	Control	HF
AABR07019088.1	856.5579675657742	0.32156218498237027	0.3000387572688412	1.0717354914726687	0.2838388547731272	0.7498535032087126	AABR07019088.1	Adipocytes_Brown	diet	Control	HF
AABR07019209.2	4.588642632971484	-1.4942108081818175	1.0197073884435526	-1.4653329230677943	0.14283010827234693	0.595406904247024	AABR07019209.2	Adipocytes_Brown	diet	Control	HF
AABR07019403.1	43.04455232449867	1.2335867857888183	0.43655636933784275	2.825721653448535	0.0047174237157698905	0.08719769596143016	AABR07019403.1	Adipocytes_Brown	diet	Control	HF
AABR07021503.1	12.741666639413022	0.08660353194164173	0.5237308119185043	0.1653588636964093	0.8686615299047945	0.9784691922040122	AABR07021503.1	Adipocytes_Brown	diet	Control	HF
AABR07021636.1	10.0319486689074	3.642671381601349	0.893234529478839	4.078068257982234	4.541143578161537e-05	0.002393638689076075	AABR07021636.1	Adipocytes_Brown	diet	Control	HF
AABR07025743.1	5.369084091449297	-0.24117509547135962	0.9302601095770457	-0.25925554905392306	0.7954380738197885	0.9637764150586817	AABR07025743.1	Adipocytes_Brown	diet	Control	HF
AABR07025986.2	3.8179581213235494	0.7344747535391256	1.0902627188687775	0.6736676773660515	0.5005226157905244	0.8756599022995349	AABR07025986.2	Adipocytes_Brown	diet	Control	HF
AABR07026002.1	4.5194905732442985	0.5527072789076062	0.9143199912672828	0.6045009232944065	0.5455106555495932	0.8959166987389776	AABR07026002.1	Adipocytes_Brown	diet	Control	HF
AABR07026291.1	836.7803920188884	-0.027548608295398003	0.2595397836785895	-0.10614406741401086	0.9154680478688142	0.9900826549575721	AABR07026291.1	Adipocytes_Brown	diet	Control	HF
AABR07026565.1	23.566300657404444	0.07171303655984407	0.5089816865588639	0.1408951214820387	0.8879527961958089	0.9828524890782179	AABR07026565.1	Adipocytes_Brown	diet	Control	HF
AABR07028615.1	14.7697708281741	-2.004706630928125	0.9434587372282809	-2.1248482332333976	0.03359927865718444	0.31314373313031363	AABR07028615.1	Adipocytes_Brown	diet	Control	HF
AABR07028902.1	350.1947554821718	0.3002781051937598	0.22565701339803973	1.3306836808306721	0.1832931149295559	0.657190763556981	AABR07028902.1	Adipocytes_Brown	diet	Control	HF
AABR07028945.1	4.444091476078624	0.31961178866691015	0.8926176776721014	0.35806123569100756	0.7202974878107096	0.9443678482420769	AABR07028945.1	Adipocytes_Brown	diet	Control	HF
AABR07031480.1	103.6608003758722	0.2018905451053169	0.32067878516980913	0.6295725019614558	0.5289743193028309	0.8876763049880578	AABR07031480.1	Adipocytes_Brown	diet	Control	HF
AABR07031491.2	74.23943128707307	-0.20487363209333026	0.4465995487449373	-0.4587412429526167	0.6464199932579395	0.928968735857923	AABR07031491.2	Adipocytes_Brown	diet	Control	HF
AABR07034438.1	220.04833350229538	-0.0011047018075876398	0.2322888956924649	-0.004755723704718936	0.9962054957838914	0.9991991587316407	AABR07034438.1	Adipocytes_Brown	diet	Control	HF
