	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	celltype	group	group1	group2
3110082J24Rik	26.61630868037557	0.36251073531737804	0.7446008691146642	0.4868524203421975	0.6263629188783282	0.9039692110621463	3110082J24Rik	Adipocytes_Brown	diet	Control	HF
4930455H04Rik	5.432700304764828	0.3164958606431412	0.9452540466115097	0.3348262425087697	0.7377561633366634	0.9403227072838072	4930455H04Rik	Adipocytes_Brown	diet	Control	HF
AABR07000398.1	9677.833470885185	-0.6619579528839376	0.4082604494660776	-1.6214109246919342	0.10492953935723254	0.4578495928864579	AABR07000398.1	Adipocytes_Brown	diet	Control	HF
AABR07000544.1	28.844395826817692	0.7254424328503241	0.4991233772717926	1.453433090663056	0.14610354444133658	0.5372711144782867	AABR07000544.1	Adipocytes_Brown	diet	Control	HF
AABR07001592.2	39.56297736929517	-0.7279163890489428	0.474156028987086	-1.5351832404281591	0.12473882389248085	0.4995521234868924	AABR07001592.2	Adipocytes_Brown	diet	Control	HF
AABR07001942.1	11.924700695098801	0.16945117663374953	0.6237268781051217	0.2716752838173995	0.7858717073873137	0.9533383102486769	AABR07001942.1	Adipocytes_Brown	diet	Control	HF
AABR07002093.2	16.130950191830838	-0.3070191037783035	0.5776170464713187	-0.5315270829590178	0.5950535788102527	0.8889939632866928	AABR07002093.2	Adipocytes_Brown	diet	Control	HF
AABR07002627.1	16.388047370870876	0.02203615795999424	0.5157915447871777	0.04272299184176554	0.9659223514609286	0.9946092970561555	AABR07002627.1	Adipocytes_Brown	diet	Control	HF
AABR07002969.1	865.8814226436865	-0.501026477930006	0.20218900152464392	-2.478010545340856	0.013211724039803707	0.12512060907554948	AABR07002969.1	Adipocytes_Brown	diet	Control	HF
AABR07004232.1	16.185975327973015	-0.4464064296649162	0.5743677580018356	-0.7772135943318211	0.43703276304465877	0.8215287388069011	AABR07004232.1	Adipocytes_Brown	diet	Control	HF
AABR07004891.1	5.15137907819662	1.478834778558709	0.9721140147228577	1.5212565153484732	0.1281954780120465	0.5049852766851496	AABR07004891.1	Adipocytes_Brown	diet	Control	HF
AABR07005588.1	175.52520205968895	0.20911185432740714	0.24585458864842125	0.8505509515888792	0.39501884554469535	0.7955804806999388	AABR07005588.1	Adipocytes_Brown	diet	Control	HF
AABR07006049.1	7.092262541329279	-0.002077075202534774	1.021956192786117	-0.002032450331233993	0.9983783403765831	0.9994931825641548	AABR07006049.1	Adipocytes_Brown	diet	Control	HF
AABR07006111.1	7.901648528005244	0.6031828891125305	0.8172561361813391	0.738058562559011	0.460478862834677	0.8370083510887841	AABR07006111.1	Adipocytes_Brown	diet	Control	HF
AABR07006685.1	3.9999172604589552	0.19740363908643058	0.9935476481825989	0.19868562866362982	0.8425086665649982	0.9677158513506374	AABR07006685.1	Adipocytes_Brown	diet	Control	HF
AABR07007032.1	24494.47451929761	-0.16837789160539365	0.2162179583170986	-0.7787414741862275	0.4361320196428584	0.8213280213075423	AABR07007032.1	Adipocytes_Brown	diet	Control	HF
