gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Cyct,Cyct,Adipocytes_Brown,time,Control,F,-6.150364623037187,1.2228679623670862,-1.2376731087948116,0.8770092399861791,-4.9126915142423755,1.5048426031997382,-3.264588272419021,0.0010962329869923515,0.8366787459183164
Slc25a21,Slc25a21,Adipocytes_Brown,time,Control,F,-2.988795402732193,0.9491849045467772,-0.6152085789671844,0.4036576387208875,-2.3735868237650086,1.031451148778844,-2.301211091359146,0.021379702271611123,0.9999939767421606
Pcdh9,Pcdh9,Adipocytes_Brown,time,Control,F,-1.991189865811376,0.5923453145391133,0.2632752115965762,0.466573465567577,-1.7279146542147998,0.7540316773373517,-2.291567723409763,0.021930599762247205,0.9999939767421606
Slc25a18,Slc25a18,Adipocytes_Brown,time,Control,F,-1.999642847853322,0.5448478056801388,0.5058249156064323,0.7743430964704208,-1.4938179322468896,0.9468190758565554,-1.577722682546803,0.11462933298028855,0.9999939767421606
Ppp1r3c,Ppp1r3c,Adipocytes_Brown,time,Control,F,-1.7108314999283378,0.355644634666288,0.3799882948585962,0.413671507770771,-1.3308432050697416,0.5455338875892684,-2.4395243546661787,0.014706611311109175,0.9999939767421606
Pros1,Pros1,Adipocytes_Brown,time,Control,F,-2.569071498918322,0.3055728467214577,-1.2557948925235176,0.3410242033998087,-1.3132766063948043,0.45789984926611366,-2.868043325411926,0.004130189710027432,0.9999939767421606
Greb1,Greb1,Adipocytes_Brown,time,Control,F,-1.3251448548722884,0.283706207011222,0.0186542058002179,0.3181611018831184,-1.3064906490720705,0.4262812436035327,-3.0648560514362804,0.0021777478551967544,0.8670831041194413
Zfp697,Zfp697,Adipocytes_Brown,time,Control,F,-1.5354690620617764,0.4811920969919705,-0.2512081632585194,0.5367734350323546,-1.284260898803257,0.7208824833244066,-1.7815121445048658,0.07482882269730995,0.9999939767421606
Irgm,Irgm,Adipocytes_Brown,time,Control,F,-2.057134125306058,0.6731278878480172,0.7950167245141143,0.6162385264762784,-1.2621174007919436,0.9126067471328424,-1.3829805715957797,0.16667082317080917,0.9999939767421606
Dcbld2,Dcbld2,Adipocytes_Brown,time,Control,F,-1.2402054834602336,0.5109620377780887,0.0192574754674819,0.5978195985859073,-1.2209480079927517,0.7864289392588197,-1.5525217181649624,0.12053744022437907,0.9999939767421606
