gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Tprg1l,Tprg1l,Adipocytes_Brown,time,Control,M,0.5313736412894533,0.5279230381391196,1.4930743367089143,0.405112623290203,0.961700695419461,0.6654464454387807,1.4451962318099645,0.14840277454381767,0.9999570852014581
Slc16a13,Slc16a13,Adipocytes_Brown,time,Control,M,0.3572283494418073,0.5171308218658252,1.3244935146632686,0.4670904667035778,0.9672651652214612,0.6968484706225522,1.3880566665480711,0.1651197904685202,0.9999570852014581
ENSRNOG00000029588,ENSRNOG00000029588,Adipocytes_Brown,time,Control,M,-0.0664240665169697,0.3961188951160598,1.0337404580203162,0.384549012571161,0.9673163915033465,0.5520761923298476,1.75214291965955,0.0797492357589189,0.9999570852014581
ENSRNOG00000070944,ENSRNOG00000070944,Adipocytes_Brown,time,Control,M,0.9976611232098522,0.6783753163695416,1.9672115767258789,0.5359316465613221,0.9695504535160266,0.8645321275958491,1.1214741737964322,0.2620860787255248,0.9999570852014581
Fmo2,Fmo2,Adipocytes_Brown,time,Control,M,0.4602163034639974,0.7684273118385265,1.433134595233908,0.5936381285970319,0.9729182917699106,0.9710235637221016,1.0019512688657588,0.3163671292714514,0.9999570852014581
ENSRNOG00000064128,ENSRNOG00000064128,Adipocytes_Brown,time,Control,M,1.3415540207196843,0.6279147548911588,2.317219276616721,0.5933702669488855,0.9756652558970365,0.8639243098263966,1.1293411295407279,0.2587539568087238,0.9999570852014581
ENSRNOG00000062892,ENSRNOG00000062892,Adipocytes_Brown,time,Control,M,-0.5213930159850556,0.5293791987937283,1.4973069837471047,0.5309844998138898,0.9759139677620491,0.7497912210462967,1.301580947293847,0.19305967640462507,0.9999570852014581
ENSRNOG00000067157,ENSRNOG00000067157,Adipocytes_Brown,time,Control,M,1.0369056304158724,0.7727680428831446,2.0138707503668,0.6529047968427684,0.9769651199509277,1.011659587925574,0.9657053930109158,0.3341916201278652,0.9999570852014581
Oaz3,Oaz3,Adipocytes_Brown,time,Control,M,0.0987828930255174,0.7014519863994504,1.075790696069339,0.5522055146692927,0.9770078030438216,0.892729421300157,1.0944052920547,0.2737772639715348,0.9999570852014581
Lrfn1,Lrfn1,Adipocytes_Brown,time,Control,M,0.8739618044447971,0.4278834406635023,1.8551900807288744,0.3703760357524354,0.9812282762840773,0.5659175263708716,1.733871510530023,0.08294088381734022,0.9999570852014581
Slc3a1,Slc3a1,Adipocytes_Brown,time,Control,M,0.2896515589717875,0.8012789430024264,1.2742414222263252,0.847680557225626,0.9845898632545377,1.1664520014117312,0.8440894799468047,0.3986194058830639,0.9999570852014581
ENSRNOG00000068999,ENSRNOG00000068999,Adipocytes_Brown,time,Control,M,0.7180963668525023,0.4914218928783667,1.7067660055028178,0.3621004039754362,0.9886696386503154,0.6104196747806635,1.619655590238904,0.10530628095151062,0.9999570852014581
Fbxl13,Fbxl13,Adipocytes_Brown,time,Control,M,0.3456054690500118,0.5863486616026754,1.3360492281547394,0.3651839573387352,0.9904437591047275,0.6907706389684118,1.4338243452035595,0.15162239573995429,0.9999570852014581
Stx3,Stx3,Adipocytes_Brown,time,Control,M,-0.1975873121851756,0.8184088546187693,1.188672218914499,0.8205971418993925,0.9910849067293233,1.1589532875020707,0.8551551796064537,0.39246524524307413,0.9999570852014581
ENSRNOG00000068888,ENSRNOG00000068888,Adipocytes_Brown,time,Control,M,0.400667574705286,0.9460705360302604,1.3926796102574532,0.8595006736036777,0.9920120355521672,1.2781982894174753,0.7761018331547492,0.4376888613987253,0.9999570852014581
ENSRNOG00000070543,ENSRNOG00000070543,Adipocytes_Brown,time,Control,M,0.2468574420112963,0.5823009074339242,1.2484300659845302,0.5326825734728513,1.0015726239732339,0.7891926703157038,1.2691103980635943,0.20440169222183124,0.9999570852014581
ENSRNOG00000069366,ENSRNOG00000069366,Adipocytes_Brown,time,Control,M,0.5217245358617775,0.5304849271829238,1.5242896319969874,0.3883426103510887,1.00256509613521,0.6574376327702648,1.5249584845191644,0.12726945291381409,0.9999570852014581
ENSRNOG00000066171,ENSRNOG00000066171,Adipocytes_Brown,time,Control,M,-0.314539565712474,0.5931554698942312,1.3192916879796772,0.4246956346128438,1.0047521222672033,0.7295202488791194,1.377277908064879,0.1684263427433157,0.9999570852014581
Slc25a24,Slc25a24,Adipocytes_Brown,time,Control,M,0.258683092675578,0.750067639013156,1.2669797383885804,0.5961108981607949,1.0082966457130023,0.9580968980227624,1.0523952721210534,0.29261823693201405,0.9999570852014581
ENSRNOG00000065404,ENSRNOG00000065404,Adipocytes_Brown,time,Control,M,0.8122148978937418,0.6563471136296645,1.820931468664952,0.6380098435069735,1.0087165707712102,0.9153404251871456,1.1020124786523806,0.27045624660488055,0.9999570852014581
