gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Spsb3,Spsb3,Adipocytes_Brown,time,Control,F,0.0059098061338709,0.2468154975358949,-0.9144077211034338,0.2913056808157556,0.9084979149695629,0.3818073984346325,2.3794665024677424,0.01733771873468659,0.9999939767421606
Hba-a1,Hba-a1,Adipocytes_Brown,time,Control,F,0.0333890053912637,0.4122191527571755,-0.946914075262234,0.6214995552562157,0.9135250698709704,0.7457790068669924,1.224927306158264,0.22060261103602086,0.9999939767421606
Thrsp,Thrsp,Adipocytes_Brown,time,Control,F,-0.1643619374138747,0.2512555584197051,-1.0796162877292368,0.2460832747993424,0.9152543503153621,0.35169067910987706,2.60244130618376,0.009256265775644756,0.9999939767421606
Tob2,Tob2,Adipocytes_Brown,time,Control,F,-0.1587799544378857,0.2750211387109673,-1.0763654980465698,0.3377658617373183,0.917585543608684,0.4355713536184747,2.1066250936520836,0.03515008982008849,0.9999939767421606
Cnpy3,Cnpy3,Adipocytes_Brown,time,Control,F,0.040503379657675,0.2955278738968997,-0.9649131569138631,0.4419401494632378,0.9244097772561881,0.5316463297697172,1.7387682854061959,0.08207552923461137,0.9999939767421606
Slc25a25,Slc25a25,Adipocytes_Brown,time,Control,F,-0.2932830735340964,0.2689919799545741,-1.2197829122773,0.3465429775249275,0.9264998387432037,0.4386897771224267,2.111970433458818,0.03468898535528808,0.9999939767421606
Efs,Efs,Adipocytes_Brown,time,Control,F,0.144664406946878,0.3112473102968812,-1.0725053101917907,0.4006831289995146,0.9278409032449128,0.5073675768433421,1.8287351135395837,0.06743929953084282,0.9999939767421606
Calm3,Calm3,Adipocytes_Brown,time,Control,F,-0.0411208009236144,0.5030594307459534,-0.9725757456657884,0.5933505429494652,0.931454944742174,0.7779033729717771,1.197391574719355,0.23115396604031302,0.9999939767421606
Tst,Tst,Adipocytes_Brown,time,Control,F,0.0212109668511048,0.9183977564999666,-0.9570107479449006,0.6681939844188622,0.9357997810937958,1.1357542163504069,0.8239456808717491,0.40997042285641916,0.9999939767421606
RGD1311946,RGD1311946,Adipocytes_Brown,time,Control,F,-0.287911507268031,0.5050522871905017,-1.226768008776007,0.590323036996707,0.938856501507976,0.7768906620660159,1.2084795806545519,0.22686284543097734,0.9999939767421606
Slc27a1,Slc27a1,Adipocytes_Brown,time,Control,F,0.1943849582521507,0.2541103350333417,-1.1371997229159965,0.3926715513015957,0.9428147646638457,0.4677210809578278,2.0157628190140415,0.043824783220795416,0.9999939767421606
Wdr62,Wdr62,Adipocytes_Brown,time,Control,F,0.1868249069336824,0.7284339226253117,-1.1444906240705237,0.5306673127059454,0.9576657171368413,0.9012345845593411,1.062615365127263,0.28795641614823375,0.9999939767421606
Col3a1,Col3a1,Adipocytes_Brown,time,Control,F,0.0766412978842929,0.5865198227871308,-1.035496388438641,0.825217810926679,0.9588550905543481,1.0124178672825108,0.9470942004688898,0.3435907797172033,0.9999939767421606
Gpd1,Gpd1,Adipocytes_Brown,time,Control,F,-0.101194564210864,0.235832524808495,-1.064666242465595,0.3575107607275993,0.963471678254731,0.42828836523255703,2.249586391943134,0.024475213081519787,0.9999939767421606
Zbtb16,Zbtb16,Adipocytes_Brown,time,Control,F,-0.4624150131722278,0.4355779594957195,-1.4267311445502828,0.3912519088448878,0.964316131378055,0.5854965541941498,1.6470056475486774,0.09955688502031523,0.9999939767421606
P4hb,P4hb,Adipocytes_Brown,time,Control,F,0.0723430186169677,0.384615416784957,-1.0374429807296142,0.4783744681089621,0.9650999621126465,0.6138168705462554,1.5722929890372235,0.1158826182423014,0.9999939767421606
