gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Trhde,Trhde,Adipocytes_Brown,time,Control,F,1.0248965791343692,0.4666528340168814,1.926775644063204,0.2460064995726947,0.9018790649288349,0.5275263645809537,1.7096378977101028,0.08733285310916661,0.9999939767421606
Ttn,Ttn,Adipocytes_Brown,time,Control,F,1.2812318603238395,1.7064458071758268,2.184587637105765,0.8745037663866508,0.9033557767819256,1.917475979054861,0.47111712827150865,0.6375570942041568,0.9999939767421606
ENSRNOG00000067467,ENSRNOG00000067467,Adipocytes_Brown,time,Control,F,-0.0128028027961584,0.4481303341648076,0.9182235833393896,0.3127766957657867,0.9054207805432312,0.5464888450945963,1.656796453707128,0.0975606342428097,0.9999939767421606
Dusp4,Dusp4,Adipocytes_Brown,time,Control,F,-0.1969861801033858,0.3585284287037591,1.102818617688999,0.2883368915576773,0.905832437585613,0.4600878146853383,1.9688250996282675,0.04897317896572018,0.9999939767421606
Cyp4a2,Cyp4a2,Adipocytes_Brown,time,Control,F,-0.4702090711057148,0.9058412081373204,1.3777347121341217,0.5294001145778422,0.9075256410284069,1.0491962522210574,0.8649722481444763,0.38705402097546693,0.9999939767421606
ENSRNOG00000070819,ENSRNOG00000070819,Adipocytes_Brown,time,Control,F,0.2383558594538569,0.5982269619362746,1.1581668156944955,0.4704335518608605,0.9198109562406387,0.7610408824129816,1.2086222665519037,0.22680799792736872,0.9999939767421606
Shank2,Shank2,Adipocytes_Brown,time,Control,F,0.5434802355410524,0.5127334635298055,1.4640718597819065,0.3748848568866137,0.9205916242408541,0.6351647507113153,1.4493745492171783,0.14723301223400265,0.9999939767421606
Dio2,Dio2,Adipocytes_Brown,time,Control,F,0.0864010243666378,0.8152244743487601,1.0156937862363111,0.7765207477344193,0.9292927618696734,1.1258665175051765,0.8254022545487064,0.40914325536567864,0.9999939767421606
Cpa2,Cpa2,Adipocytes_Brown,time,Control,F,0.2674952650426557,0.6630938528545051,1.1971192014476155,0.8125097400101701,0.9296239364049599,1.0487447426828065,0.8864158251004699,0.3753934946996804,0.9999939767421606
Ppp2r2c,Ppp2r2c,Adipocytes_Brown,time,Control,F,-0.0053442891599402,0.3373863562607412,0.9457048645313364,0.3790253364586238,0.9403605753713962,0.5074344874646113,1.853166465034518,0.06385850266783599,0.9999939767421606
Miga1,Miga1,Adipocytes_Brown,time,Control,F,0.2145379732718246,0.4409501625583051,1.1557858923531352,0.5006299859458825,0.9412479190813106,0.6671337412306247,1.410883397000791,0.15827899850393834,0.9999939767421606
Zfp639,Zfp639,Adipocytes_Brown,time,Control,F,-0.2180623575838015,0.2245512774060267,1.1660752537425343,0.500162413354714,0.9480128961587329,0.5482569798164818,1.729139675478571,0.08378409974616496,0.9999939767421606
