gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Ccdc85a,Ccdc85a,Adipocytes_Brown,time,Control,M,4.3593640460717324,1.593282690165191,0.8560910594149074,0.7965638208742457,-3.503272986656825,1.7813095327611665,-1.966684016576548,0.04921965068908962,0.9999570852014581
Egr1,Egr1,Adipocytes_Brown,time,Control,M,3.669609842873185,0.9758525353163462,0.58130851121818,0.7158556750882041,-3.088301331655005,1.2102634086178634,-2.5517596497293806,0.010718042858812948,0.9999570852014581
Arhgef19,Arhgef19,Adipocytes_Brown,time,Control,M,3.734795788517035,1.2557141810283374,0.954131949141744,0.4059440620868649,-2.7806638393752907,1.319700225801016,-2.1070420274327955,0.03511393673608443,0.9999570852014581
Fosb,Fosb,Adipocytes_Brown,time,Control,M,6.179419270226026,1.7025869038127526,3.429827428411197,0.7096911760270728,-2.7495918418148286,1.84457684317173,-1.490635563377742,0.13605720200815075,0.9999570852014581
Thsd4,Thsd4,Adipocytes_Brown,time,Control,M,3.9508388083902735,0.488670208148958,1.3642654975408142,0.3978857841057024,-2.5865733108494595,0.6301679692952948,-4.104577568012504,4.0505434916182637e-05,0.24060228340212486
Fos,Fos,Adipocytes_Brown,time,Control,M,3.5005115514791942,1.4842754080864464,0.9930232390879228,0.5013855885452354,-2.5074883123912715,1.566671948893909,-1.6005190583527018,0.1094834824347366,0.9999570852014581
Nr4a1,Nr4a1,Adipocytes_Brown,time,Control,M,2.4604439702308856,1.048442369562094,-0.1321525610455158,1.0089164568455564,-2.3282914091853697,1.4550408307627554,-1.6001553770589672,0.10956411857732484,0.9999570852014581
Tpm4,Tpm4,Adipocytes_Brown,time,Control,M,2.3438895673122406,0.9466553751985942,0.0788986731359597,0.5632793804429861,-2.264990894176281,1.1015625537501834,-2.056161846156895,0.03976691854819303,0.9999570852014581
Mark1,Mark1,Adipocytes_Brown,time,Control,M,3.3075388588374484,0.6597671572283388,1.08452684426322,0.3566028070914631,-2.2230120145742283,0.7499721753389753,-2.964125987166741,0.0030354398360232793,0.9999570852014581
Afap1l1,Afap1l1,Adipocytes_Brown,time,Control,M,2.355694307206795,0.857385285227808,0.1346875277179522,0.6759002679783944,-2.221006779488843,1.091764947036877,-2.0343268809983353,0.04191864864394401,0.9999570852014581
Pde8b,Pde8b,Adipocytes_Brown,time,Control,M,2.6252030454832704,0.3698399057517328,0.4044255366511664,0.9645734061287912,-2.220777508832104,1.03304569680985,-2.1497379212653325,0.03157595107323807,0.9999570852014581
Lrrn2,Lrrn2,Adipocytes_Brown,time,Control,M,5.596167573028003,1.56209342065668,3.400693725777433,0.6971512705706263,-2.1954738472505704,1.7106009905635875,-1.283451757225531,0.19933385089064393,0.9999570852014581
Asb2,Asb2,Adipocytes_Brown,time,Control,M,2.3601075699021843,1.0978081098878385,-0.3440156843248959,0.5645513127325615,-2.0160918855772882,1.234463782718459,-1.6331721625219142,0.10243279292601315,0.9999570852014581
Ptger3,Ptger3,Adipocytes_Brown,time,Control,M,3.478987138723236,0.5950894592035467,1.4774005069911167,0.3654467809914183,-2.0015866317321196,0.6983429058794536,-2.866194551244756,0.0041543884909911455,0.9999570852014581
Rasgrp2,Rasgrp2,Adipocytes_Brown,time,Control,M,2.919296026187943,0.4830558533760085,0.9358875333013176,0.4744250824408806,-1.9834084928866256,0.6770687677997415,-2.92940479197124,0.0033961183454631616,0.9999570852014581
Adgra1,Adgra1,Adipocytes_Brown,time,Control,M,2.589231679079506,0.6449163899934812,0.6151997630862718,0.6303834552231544,-1.974031915993234,0.9018317197245319,-2.188913821523388,0.028603104293948967,0.9999570852014581
