gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Pde10a,Pde10a,Adipocytes_Brown,time,Control,M,-4.944917982161816,0.5988138103156847,-0.8970365112681498,0.7080526740662748,-4.047881470893667,0.9273168653039754,-4.365154589921932,1.2703288758020292e-05,0.15091507044528107
Slc22a1,Slc22a1,Adipocytes_Brown,time,Control,M,-6.649178587796316,2.4501585755790263,-2.9966565462295884,1.1667829646187358,-3.652522041566727,2.713790620517347,-1.345911513567846,0.1783310552355868,0.9999570852014581
Lyz2,Lyz2,Adipocytes_Brown,time,Control,M,-4.34967012490232,1.134708119578241,-1.42847603264834,0.7468234492946167,-2.9211940922539803,1.358421061767336,-2.1504334513581833,0.03152094471573563,0.9999570852014581
Axdnd1,Axdnd1,Adipocytes_Brown,time,Control,M,-3.0570385389981043,0.755673667754424,-0.6529732909748598,0.7499067858172118,-2.4040652480232447,1.0646139579923444,-2.258156799443853,0.023935885518941102,0.9999570852014581
Adam11,Adam11,Adipocytes_Brown,time,Control,M,-2.6178819656975465,1.1782991762863448,0.2515534970328006,0.7444751718206689,-2.366328468664746,1.3937834230232806,-1.6977734342197157,0.08955053172312355,0.9999570852014581
Ankrd55,Ankrd55,Adipocytes_Brown,time,Control,M,-2.3159946999884258,0.987862029958105,-0.000873088204446,0.8647798348268873,-2.31512161178398,1.3129034819651315,-1.7633600973612664,0.0778397752487141,0.9999570852014581
Socs2,Socs2,Adipocytes_Brown,time,Control,M,-3.742376988258841,1.58045404900161,-1.652767093746866,0.5415215434082212,-2.089609894511975,1.6706527415895875,-1.2507745281187277,0.21101675057536995,0.9999570852014581
Twist1,Twist1,Adipocytes_Brown,time,Control,M,-2.0885468435241488,1.1554746989759357,0.062260859369041,0.6257651990587262,-2.0262859841551077,1.3140410436232715,-1.54202640319965,0.12306717761686237,0.9999570852014581
Gm15737,Gm15737,Adipocytes_Brown,time,Control,M,-2.4229054240535555,1.5506303121586753,-0.4543642526290744,0.6390644803138654,-1.968541171424481,1.6771576476241408,-1.1737365144016805,0.24050057976811656,0.9999570852014581
Myc,Myc,Adipocytes_Brown,time,Control,M,-2.007375771811006,0.9133079415099542,0.0538866869591821,0.5579151312062698,-1.9534890848518238,1.0702339415539293,-1.825291657275838,0.06795702846958696,0.9999570852014581
ENSRNOG00000029004,ENSRNOG00000029004,Adipocytes_Brown,time,Control,M,-2.779472690951496,0.7885483648488432,-0.8397287357239982,1.0030267235394514,-1.939743955227498,1.2758805319621707,-1.5203178562842203,0.12843110834535865,0.9999570852014581
H2bc18,H2bc18,Adipocytes_Brown,time,Control,M,-2.0025979552929782,0.8183435601026039,-0.1442219506618267,0.6505215871089036,-1.8583760046311515,1.0454016059180753,-1.7776670650884636,0.07545855193004014,0.9999570852014581
Shisa4,Shisa4,Adipocytes_Brown,time,Control,M,-2.398004601668114,0.8349969990620647,-0.546579508389747,0.4467710491039016,-1.8514250932783667,0.9470081091310963,-1.9550255963247196,0.050580049173786445,0.9999570852014581
LOC681186,LOC681186,Adipocytes_Brown,time,Control,M,-1.9919558678082483,1.0627399034878042,0.1527134261336459,0.6932139533597135,-1.8392424416746023,1.2688426567537325,-1.449543355028911,0.1471859019164674,0.9999570852014581
LOC102549789,LOC102549789,Adipocytes_Brown,time,Control,M,-1.9778845689055784,0.9169035676635476,-0.1531156984349786,0.7552081284283138,-1.8247688704705998,1.1878768747805213,-1.5361599414987805,0.12449915802791489,0.9999570852014581
Tfcp2l1,Tfcp2l1,Adipocytes_Brown,time,Control,M,-2.613533980501224,0.7035494947429436,-0.8497428232453852,0.6257415398158677,-1.763791157255839,0.9415595393835614,-1.8732656656111117,0.06103170858250673,0.9999570852014581
Igfbp5,Igfbp5,Adipocytes_Brown,time,Control,M,-2.9412291144497704,0.5085405609523724,-1.1808283282059242,0.687947165565438,-1.7604007862438462,0.85550266203167,-2.057738525398858,0.03961524005303385,0.9999570852014581
Creb3l1,Creb3l1,Adipocytes_Brown,time,Control,M,-2.5560853304529645,0.851397044319444,-0.8234713651449186,0.8182730289934017,-1.732613965308046,1.180867341005721,-1.467238448505497,0.14231120108623707,0.9999570852014581
